,Best,,,
Image,Match Scores,AWAY/HOME,Inliers,Outliers,Ratio,Correct
#1,0.539862,AWAY,60,121,3/2,-
,0.429134,HOME,23,150,,
,0.408444,AWAY,6,107,,
,0.407231,HOME,18,106,,
,0.401615,AWAY,21,119,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
#2,0.610457,AWAY,64,108,3/1,CORRECT
,0.589132,AWAY,20,146,,
,0.446193,AWAY,9,112,,
,0.411801,HOME,25,110,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
#3,0.511467,AWAY,21,136,3/2,-
,0.4691,AWAY,57,168,,
,0.445189,AWAY,16,136,,
,0.427691,HOME,25,125,,
,0.413818,HOME,20,147,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
#4,0.516873,HOME,15,168,3/3,-
,0.482547,AWAY,55,174,,
,0.454789,AWAY,17,162,,
,0.417764,AWAY,14,127,,
,0.412742,HOME,23,161,,
,0.40547,HOME,11,128,,
,-,-,-,-,,
,-,-,-,-,,
#5,0.534306,HOME,19,198,4/2,CORRECT
,0.498904,AWAY,102,141,,
,0.465065,AWAY,10,122,,
,0.458355,AWAY,14,159,,
,0.43995,HOME,32,180,,
,0.418584,AWAY,14,165,,
,-,-,-,-,,
,-,-,-,-,,
#6,0.557709,AWAY,12,125,5/3,CORRECT
,0.52254,AWAY,56,135,,
,0.515093,AWAY,18,150,,
,0.482883,AWAY,14,125,,
,0.466385,HOME,19,120,,
,0.461263,HOME,17,137,,
,0.456486,AWAY,24,116,,
,0.455172,HOME,17,155,,
#7,0.577394,AWAY,34,156,5/1,CORRECT
,0.493296,HOME,17,139,,
,0.452036,AWAY,9,134,,
,0.450256,AWAY,35,115,,
,0.416767,AWAY,22,100,,
,0.408535,AWAY,12,156,,
,-,-,-,-,,
,-,-,-,-,,
#8,0.705326,AWAY,63,124,6/2,CORRECT
,0.64699,AWAY,35,164,,
,0.599839,AWAY,11,164,,
,0.596676,HOME,20,158,,
,0.588184,AWAY,21,132,,
,0.566662,AWAY,9,148,,
,0.56142,AWAY,35,146,,
,0.552705,HOME,28,139,,
#9,0.6671,AWAY,60,134,6/2,CORRECT
,0.580962,HOME,20,130,,
,0.548354,AWAY,24,147,,
,0.531423,AWAY,32,134,,
,0.513286,AWAY,28,146,,
,0.492246,HOME,18,113,,
,0.482011,AWAY,25,135,,
,0.4793,AWAY,12,102,,
#10,0.630689,AWAY,23,204,8/0,CORRECT
,0.586607,AWAY,87,122,,
,0.561867,AWAY,79,115,,
,0.560645,AWAY,47,153,,
,0.541602,AWAY,48,161,,
,0.511098,AWAY,34,163,,
,0.467742,AWAY,14,166,,
,0.462237,AWAY,18,163,,
#11,0.552953,AWAY,50,127,8/0,CORRECT
,0.496079,AWAY,44,145,,
,0.477289,AWAY,58,146,,
,0.473131,AWAY,11,172,,
,0.455714,AWAY,11,176,,
,0.455646,AWAY,26,158,,
,0.445084,AWAY,18,200,,
,0.444134,AWAY,21,177,,
#12,0.592122,AWAY,25,177,8/0,CORRECT
,0.5444,AWAY,61,158,,
,0.533977,AWAY,48,130,,
,0.527994,AWAY,19,174,,
,0.514111,AWAY,21,169,,
,0.505431,AWAY,48,133,,
,0.48131,AWAY,74,150,,
,0.479068,AWAY,17,147,,
#13,0.627899,AWAY,61,190,7/0,CORRECT
,0.589257,AWAY,94,151,,
,0.529123,AWAY,17,181,,
,0.487103,AWAY,45,122,,
,0.485015,AWAY,23,156,,
,0.416797,AWAY,43,150,,
,0.412013,AWAY,49,153,,
,-,-,-,-,,
#14,0.599304,AWAY,30,203,7/1,CORRECT
,0.571494,AWAY,50,182,,
,0.568646,AWAY,93,148,,
,0.564604,HOME,21,144,,
,0.539239,AWAY,27,135,,
,0.538191,AWAY,26,169,,
,0.533141,AWAY,38,157,,
,0.513834,AWAY,31,205,,
#15,0.584024,AWAY,25,174,7/1,CORRECT
,0.557599,HOME,20,220,,
,0.522506,AWAY,30,218,,
,0.500488,AWAY,75,167,,
,0.479963,AWAY,25,210,,
,0.438508,AWAY,7,163,,
,0.43684,AWAY,43,145,,
,0.434153,AWAY,20,191,,
#16,0.755546,AWAY,104,156,7/1,CORRECT
,0.692639,AWAY,58,166,,
